epoch,dice_coefficient_t,jaccard_coefficient_t,loss,val_dice_coefficient_t,val_jaccard_coefficient_t,val_loss
0,nan,nan,0.008887826384420407,0.2705968,0.19798262,0.01359246211941354
1,nan,nan,0.0056686711962845955,0.26999438,0.18926427,0.01299105862271972
2,nan,nan,0.005126821759420221,0.27841848,0.20670764,0.013717986922711135
3,nan,nan,0.004835293999109892,0.20831203,0.16066813,0.014604256238089874
4,nan,nan,0.004592057019760821,0.30477703,0.23589972,0.0143799000128638
5,nan,nan,0.004286714602111202,0.14990859,0.11420077,0.025022696354426444
6,nan,nan,0.004056681709752104,0.25263324,0.18566455,0.01625298081198707
7,nan,nan,0.0038492241894229067,0.3926507,0.30347374,0.01471634313929826
8,nan,nan,0.0036119957228981803,0.6027482,0.48704165,0.00893396173196379
9,nan,nan,0.003421667848653669,0.045098316,0.032326266,0.04842652839142829
10,nan,nan,0.00325165648523653,0.43140474,0.3459205,0.011811810116341803
11,nan,nan,0.0031604164329127184,0.3672547,0.290528,0.020039742110384395
12,nan,nan,0.0030009490386123847,0.38361162,0.29518962,0.020602906691783572
13,nan,nan,0.0028765596904431943,0.46024317,0.36705846,0.016580947273178027
14,nan,nan,0.00272084603428358,0.26359233,0.20140567,0.023074832576094197
15,nan,nan,0.0025900009082616103,0.4306938,0.33066326,0.01902058344130637
16,nan,nan,0.002462568651252244,0.32230192,0.24448653,0.025400471105240286
17,nan,nan,0.0023605458647139427,0.4032492,0.3202215,0.020437375878100284
18,nan,nan,0.0022234708935242975,0.398969,0.3070596,0.022178772263578138
19,nan,nan,0.0020901534348222567,0.41704005,0.32030082,0.02398714751470834
20,nan,nan,0.002010193571267211,0.43867,0.34333262,0.020655310081201604
21,nan,nan,0.001937631123025296,0.25595292,0.19525063,0.03573435388680082
22,nan,nan,0.001876844153656209,0.42324138,0.3337652,0.01797592672519386
23,nan,nan,0.0017218682704801477,0.5047039,0.3928852,0.025885176200245042
24,nan,nan,0.0016413787379917883,0.3871463,0.3020586,0.023746738975751212
25,nan,nan,0.001598242817501917,0.37188816,0.2967984,0.03394787456345512
26,nan,nan,0.0015133380822335161,0.4047994,0.3190804,0.028128171144635415
27,nan,nan,0.0014069907400936271,0.4017779,0.30986077,0.03320111404900672
28,nan,nan,0.0013761075840974628,0.40697718,0.32010978,0.02447224143834319
29,nan,nan,0.0012992519378352684,0.36233047,0.27355307,0.02838870414707344
30,nan,nan,0.001234938054763432,0.37321907,0.29425436,0.048213402141118425
31,nan,nan,0.0011913110778704627,0.44614753,0.3657282,0.02797685142722912
